test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,rest_calculate_price,00:01:00,global information,3000,3000,0,50,3.53,6.61,11.71,6.66,7.28,8.34,9.44,1.08,0.035,0.037,0.038,0.1
nbomber_default_test_suite_name,nbomber_default_test_name,graphql_calculate_price,00:01:00,global information,2999,0,2999,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,signalr_calculate_price,00:01:00,global information,3000,3000,0,50,6.96,10.77,44.45,10.61,11.46,13.15,14.54,1.42,0.004,0.004,0.004,0.0
nbomber_default_test_suite_name,nbomber_default_test_name,ws_calculate_price,00:01:00,global information,3000,3000,0,50,5.2,9.23,14.31,9.16,9.93,11.21,12.49,1.16,0.035,0.037,0.038,0.1
