test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,rest_stock_update,00:01:00,global information,6000,6000,0,100,0.92,2.66,16.7,2.42,3.08,4.19,5.14,0.99,0.071,0.077,0.081,0.5
nbomber_default_test_suite_name,nbomber_default_test_name,graphql_stock_update,00:01:00,global information,6000,6000,0,100,1.04,2.66,16.75,2.44,3.07,4.16,5.09,0.94,0.383,0.388,0.391,2.3
nbomber_default_test_suite_name,nbomber_default_test_name,signalr_stock_update,00:01:00,global information,6000,6000,0,100,4.11,8.35,25.34,7.56,9.51,13.98,18.8,2.78,0.062,0.068,0.072,0.4
nbomber_default_test_suite_name,nbomber_default_test_name,ws_stock_update,00:01:00,global information,6000,6000,0,100,2.38,5.99,20.34,5.36,6.85,10.47,13.73,2.24,0.06,0.065,0.069,0.4
